Contra Costa County,De Anza Senior High,165
Contra Costa County,Delta Continuation High,166
Contra Costa County,El Cerrito Senior High,167
Contra Costa County,Gompers (Samuel) Continuation,168
Contra Costa County,Harmon (Ralph) (Smr),169
Contra Costa County,Hercules High,170
Contra Costa County,Kennedy High,171
Contra Costa County,Leadership Public Schools: Richmond,172
Contra Costa County,Middle College High,173
Contra Costa County,North Campus Continuation,174
Contra Costa County,Omega Continuation High,175
Contra Costa County,Pinole Valley High,176
Contra Costa County,Richmond High,177
Contra Costa County,Sigma Continuation High,178
Contra Costa County,Transition Learning Center,179
Contra Costa County,Vista High (Alternative),180
Contra Costa County,WCCUSD Community Day School Program,181
Contra Costa County,West Contra Costa Unified,182
Contra Costa County,West County Community High,183
Del Norte County,Del Norte High,184
Del Norte County,Sunset High,185
El Dorado County,American River Charter,186
El Dorado County,Black Oak Mine Community Day,187
El Dorado County,EDUHSD Virtual Academy at Shenandoah,188
El Dorado County,EDUSHD Community Day,189
El Dorado County,El Dorado High,190
El Dorado County,Independence Continuation,191
El Dorado County,Independent Learning Center (Alternative),192
El Dorado County,Independent Learning Centers,193
El Dorado County,Mountain View High,194
El Dorado County,Oak Ridge High,195
El Dorado County,Ponderosa High,196
El Dorado County,Pondorado Alternative Center,197
El Dorado County,Union Mine High,198
El Dorado County,Vista High,199
El Dorado County,Contract Independent Study,200
El Dorado County,South Tahoe High,201
El Dorado County,Transitional Learning Center (Continuation),202
Fresno County,Caruthers High,203
Fresno County,MARC Community Day,204
Fresno County,MARC High (Cont.),205
Fresno County,Central High,206
Fresno County,Central High East Campus,207
Fresno County,Central Unified Alternative/Opportunity,208
Fresno County,Pershing Continuation High,209
Fresno County,Buchanan High,210
Fresno County,Clovis Community Day Secondary,211
Fresno County,Clovis East High,212
Fresno County,Clovis High,213
Fresno County,Clovis North High,214
Fresno County,Clovis Online Charter,215
Fresno County,Clovis West High,216
Fresno County,Enterprise Alternative,217
Fresno County,Gateway High (Continuation),218
Fresno County,Fowler Academy Community Day (9-12),219
Fresno County,Fowler Academy Continuation,220
Fresno County,Fowler Academy Independent Study,221
Fresno County,Bullard High,222
Fresno County,Cambridge Continuation High,223
Fresno County,Carter G. Woodson Public Charter,224
Fresno County,Cornerstone Academy,225
Fresno County,Design Science Early College High,226
Fresno County,Dewolf Continuation High,227
Fresno County,Edison High,228
Fresno County,Erma Duncan Polytechnical High,229
Fresno County,Florence E. Rata,230
Fresno County,Fresno Academy for Civic and Entrepreneurial Leadership,231
Fresno County,Fresno High,232
Fresno County,Fresno Unified,233
Fresno County,Fulton Special Education,234
Fresno County,Gateway Academy,235
Fresno County,Herbert Hoover High,236
Fresno County,J. E. Young Academic Center,237
Fresno County,Kisling Center (Spec. Ed.),238
Fresno County,New Horizon High,239
Fresno County,New Millennium Institute of Education Charter,240
Fresno County,Renaissance Charter,241
Fresno County,Roosevelt High,242
Fresno County,School of Unlimited Learning,243
Fresno County,Sierra Charter,244
Fresno County,Sunnyside High,245
Fresno County,University High,246
Fresno County,Valley Preparatory Academy Charter,247
Fresno County,Rio Del Rey High (Continuation),248
Fresno County,Enterprise High,249
Fresno County,Kerman High,250
Fresno County,Kerman Unified Alternative Education,251
Fresno County,Laton High,252
Fresno County,Mendota High,253
Fresno County,Parlier Alternative Education Center,254
Fresno County,Parlier High,255
Fresno County,San Joaquin Valley Charter,256
Fresno County,San Joaquin Valley High,257
Fresno County,Riverdale High,258
Fresno County,Hallmark Charter,259
Fresno County,Taft High,260
Fresno County,Heartland High (Continuation),261
Fresno County,Selma High,262
Fresno County,Selma Independent,263
Fresno County,Shaver Lake Educational Center,264
Fresno County,Willow Creek Educ. Ctr (Cont.),265
Fresno County,Oak Meadow Community Day,266
Fresno County,Sierra High,267
Fresno County,West Fresno Performing Arts Academy,268
Fresno County,Rosalyn Charter,269
Fresno County,West Park Charter Academy,270
Fresno County,Crescent View South Charter,271
Glenn County,North Valley High (Continuation),272
Glenn County,Orland High,273
Glenn County,Princeton High Community Day,274
Glenn County,Princeton Junior-Senior High,275
Glenn County,Willows High,276
Humboldt County,Barnum (Zoe) High (Cont.),277
Humboldt County,Eureka Senior High,278
Humboldt County,Ferndale High,279
Humboldt County,Academy of the Redwoods,280
Humboldt County,East High (Continuation),281
Humboldt County,Fortuna Union High,282
Humboldt County,Pacific View Charter,283
Humboldt County,Mattole Triple Junction High,284
Humboldt County,Mattole Valley Charter (#159),285
Imperial County,Brawley High,286
Imperial County,Desert Valley High (Continuation),287
Imperial County,Calipatria High,288
Imperial County,Midway High,289
Imperial County,Central Union High,290
Imperial County,Desert Oasis High (Continuation),291
Imperial County,Southwest High,292
Imperial County,Freedom Academy of Imperial Valley,293
Imperial County,Holtville High,294
Imperial County,Sam Webb Continuation,295
Imperial County,Imperial High,296
Inyo County,Big Pine High,297
Inyo County,Eureka Dunes High,298
Inyo County,Death Valley High Academy,299
Inyo County,Lone Pine High,300
Inyo County,Sierra Alternative Learning Academy,301
Inyo County,Owens Valley Community Day,302
Inyo County,Owens Valley High,303
Kern County,Cesar E. Chavez High,304
Kern County,Delano High,305
Kern County,Robert F. Kennedy High,306
Kern County,Valencia (Ygnacio) High (Alternative),307
Kern County,Valley High,308
Kern County,El Tejon Continuation High,309
Kern County,Frazier Mountain High,310
Kern County,California Virtual Academy @ Kern,311
Kern County,California Virtual Academy High @ Maricopa,312
Kern County,Maricopa High,313
Kern County,McFarland High,314
Kern County,McFarland Independent,315
Kern County,San Joaquin High (Continuation),316
Kern County,California City High,317
Kern County,Douglas,318
Kern County,Mojave Jr./Sr. High,319
Kern County,Red Rock Community Day,320
Kern County,Boron Junior-Senior High,321
Kern County,Desert Junior-Senior High,322
Kern County,California Pacific Charter School of Kern,323
Kern County,Burroughs High,324
Kern County,Mesquite Continuation High,325
Kern County,Rare Earth High (Continuation),326
Kern County,Rosamond High,327
Kern County,Buena Vista High (Continuation),328
Kern County,Taft Union High,329
Kern County,Westside Independent Study High,330
Kern County,Monroe High (Continuation),331
Kern County,Summit High (Alternative),332
Kern County,Tehachapi High,333
Kern County,Wasco High,334
Kern County,Wasco Independence High,335
Kings County,California Virtual Academy @ Kings,336
Kings County,Crossroads Charter,337
Kings County,"National University Academy, Armona",338
Kings County,California Pacific Charter School of Central California,339
Kings County,Corcoran High,340
Kings County,Kings Lake Education Center,341
Kings County,Jamison (Donald C.) High (Continuation),342
Kings County,Lemoore High,343
Kings County,Lemoore Middle College High,344
Kings County,Yokuts High,345
Kings County,Adelante High,346
Kings County,Reef-Sunset Secondary Community Day,347
Kings County,Sunrise High (Continuation),348
Lake County,Kelseyville High,349
Lake County,Riviera High,350
Lake County,Carle (William C.) High (Continuation),351
Lake County,Genesis High,352
Lake County,Lower Lake High,353
Lake County,Richard H. Lewis Alternative,354
Lake County,Natural High (Continuation),355
Lake County,Loconoma Valley High,356
Lake County,Middletown High,357
Lassen County,Gateway High (Continuation),358
Lassen County,Herlong High,359
Lassen County,Mt. Lassen Charter,360
Lassen County,Credence High,361
Lassen County,Diamond Mountain Charter High,362
Lassen County,Lassen High,363
Lassen County,Horizon High (Continuation),364
Lassen County,Westwood Charter,365
Lassen County,Westwood Community Day,366
Los Angeles County,ABC Secondary (Alternative),367
Los Angeles County,ABC Unified,368
Los Angeles County,Artesia High,369
Los Angeles County,Carver (Charles J.) Elementary,370
Los Angeles County,Cerritos High,371
Los Angeles County,Gahr (Richard) High,372
Los Angeles County,Tracy (Wilbur) High (Continuation),373
Los Angeles County,Whitney (Gretchen) High,374
Los Angeles County,Academy of Arts and Sciences: Los Angeles (9-12),375
Los Angeles County,Vasquez High,376
Los Angeles County,Alhambra High,377
Los Angeles County,Century High,378
Los Angeles County,Independence High (Alternative),379
Los Angeles County,Mark Keppel High,380
Los Angeles County,San Gabriel High,381
Los Angeles County,Arcadia High,382
Los Angeles County,Rancho Learning Center (Alternative),383
Los Angeles County,Azusa High,384
Los Angeles County,Gladstone High,385
Los Angeles County,Baldwin Park Alternative,386
Los Angeles County,Baldwin Park High,387
Los Angeles County,North Park Continuation High,388
Los Angeles County,Opportunities For Learning - Baldwin Park II,389
Los Angeles County,Opportunities for Learning - Baldwin Park,390
Los Angeles County,Sierra Vista High,391
Los Angeles County,Bassett Senior High,392
Los Angeles County,Bellflower Alternative Education Center,393
Los Angeles County,Bellflower High,394
Los Angeles County,Mayfair High,395
Los Angeles County,Somerset Continuation High,396
Los Angeles County,Beverly Hills High,397
Los Angeles County,Bonita High,398
Los Angeles County,Chaparral High (Continuation),399
Los Angeles County,San Dimas High,400
Los Angeles County,Vista (Alternative),401
Los Angeles County,Burbank High,402
Los Angeles County,Burroughs High,403
Los Angeles County,Monterey High (Continuation),404
Los Angeles County,Off Campus Learning Center,405
Los Angeles County,Options for Youth-Burbank Charter,406
Los Angeles County,Arrow High (Continuation),407
Los Angeles County,Bridges Community Day,408
Los Angeles County,Charter Oak Alternative Education,409
Los Angeles County,Charter Oak High,410
Los Angeles County,Oak Knoll Alternative,411
Los Angeles County,Claremont High,412
Los Angeles County,Community Day,413
Los Angeles County,Centennial High,414
Los Angeles County,Cesar Chavez Continuation High,415
Los Angeles County,Compton Community Day High,416
Los Angeles County,Compton High,417
Los Angeles County,Compton Unified Alternative/Opportunity,418
Los Angeles County,Dominguez High,419
Los Angeles County,Vanguard Learning Center,420
Los Angeles County,Covina High,421
Los Angeles County,Fairvalley High (Continuation),422
Los Angeles County,Northview High,423
Los Angeles County,Ranger High (Alternative),424
Los Angeles County,South Hills High,425
Los Angeles County,Culver City High,426
Los Angeles County,Culver City Independent Study,427
Los Angeles County,Columbus Continuation,428
Los Angeles County,Downey High,429
Los Angeles County,Rancho Los Amigos Hospital,430
Los Angeles County,Warren High,431
Los Angeles County,Duarte High,432
Los Angeles County,Mt. Olive Innovation and Technology High,433
Los Angeles County,Opportunities for Learning - Duarte,434
Los Angeles County,Arroyo High,435
Los Angeles County,El Monte High,436
Los Angeles County,El Monte Union High School Community Day,437
Los Angeles County,Fernando R. Ledesma Continuation High,438
Los Angeles County,Mountain View High,439
Los Angeles County,Rosemead High,440
Los Angeles County,El Rancho Alternative Education Center,441
Los Angeles County,El Rancho High,442
Los Angeles County,Eugene A. Obregon,443
Los Angeles County,Ruben Salazar Continuation,444
Los Angeles County,Arena High (Continuation),445
Los Angeles County,El Segundo High,446
Los Angeles County,Anderson W. Clark Magnet High,447
Los Angeles County,College View,448
Los Angeles County,Crescenta Valley High,449
Los Angeles County,Daily (Allan F.) High (Continuation),450
Los Angeles County,Glendale High,451
Los Angeles County,Herbert Hoover High,452
Los Angeles County,Glendora High,453
Los Angeles County,Whitcomb Continuation High,454
Los Angeles County,Gorman Learning Center,455
Los Angeles County,Lifeline Education Charter,456
Los Angeles County,Animo Inglewood Charter High,457
Los Angeles County,City Honors College Preparatory Academy,458
Los Angeles County,Inglewood High,459
Los Angeles County,Morningside High,460
Los Angeles County,La Canada High,461
Los Angeles County,Agoura High,462
Los Angeles County,Calabasas High,463
Los Angeles County,Indian Hills Continuation High,464
Los Angeles County,Environmental Charter High,465
Los Angeles County,Cabrillo High,466
Los Angeles County,California Academy of Mathematics and Science,467
Los Angeles County,Colegio New City,468
Los Angeles County,Educational Partnership High,469
Los Angeles County,Jordan High,470
Los Angeles County,Lakewood High,471
Los Angeles County,Long Beach Unified,472
Los Angeles County,Millikan High,473
Los Angeles County,Options for Youth-Long Beach Charter,474
Los Angeles County,Pacific Learning Center Charter,475
Los Angeles County,Polytechnic High,476
Los Angeles County,Premiere Education Charter,477
Los Angeles County,Promise Academy,478
Los Angeles County,Reid High,479
Los Angeles County,Rosie the Riveter Charter High,480
Los Angeles County,Select Community Day (Secondary),481
Los Angeles County,Wilson High,482
Los Angeles County,APEX Academy,483
Los Angeles County,ARTLAB at Sonia Sotomayor Learning Academics,484
Los Angeles County,Abraham Lincoln Senior High,485
Los Angeles County,Academies of Education and Empowerment at Carson High,486
Los Angeles County,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,487
Los Angeles County,Academy of Environmental & Social Policy (ESP) at Roosevelt High,488
Los Angeles County,Academy of Medical & Health Sciences at Roosevelt High,489
Los Angeles County,Academy of Medical Arts at Carson High,490
Los Angeles County,Aggeler Community Day,491
Los Angeles County,Alain Leroy Locke 3 College Preparatory Academy,492
Los Angeles County,Albert Einstein Continuation,493
Los Angeles County,Alexander Hamilton Senior High,494
Los Angeles County,Alliance Cindy and Bill Simon Technology Academy High,495
Los Angeles County,Alliance College-Ready Academy High No. 7,496
Los Angeles County,Alliance Dr. Olga Mohan High,497
Los Angeles County,Alliance Environmental Science and Technology High,498
Los Angeles County,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,499
Los Angeles County,Alliance Health Services Academy High,500
Los Angeles County,Alliance Marc & Eva Stern Math and Science,501
Los Angeles County,Alliance Media Arts and Entertainment Design High,502
Los Angeles County,Alliance Ouchi-O'Donovan 6-12 Complex,503
Los Angeles County,Alliance Renee and Meyer Luskin Academy High,504
Los Angeles County,Alliance Tennenbaum Family Technology High,505
Los Angeles County,Alphonso B. Perez Special Education Center,506
Los Angeles County,Amelia Earhart Continuation,507
Los Angeles County,Anahuacalmecac International Preparatory High School of North America,508
Los Angeles County,Angel's Gate (Continuation),509
Los Angeles County,Animo College Preparatory Academy,510
Los Angeles County,Animo Film and Theater Arts Charter High,511
Los Angeles County,Animo Justice Charter High,512
Los Angeles County,Animo Locke II College Preparatory Academy,513
Los Angeles County,Animo Locke Technology High,514
Los Angeles County,Animo Pat Brown,515
Los Angeles County,Animo South Los Angeles Charter,516
Los Angeles County,Animo Venice Charter High,517
Los Angeles County,Animo Watts College Preparatory Academy,518
Los Angeles County,Arleta High,519
Los Angeles County,"Arleta High School of Science, Math & Related Technologies (S.M.A.R.T.)",520
Los Angeles County,Aspire Pacific Academy,521
Los Angeles County,Augustus F. Hawkins High A Critical Design and Gaming,522
Los Angeles County,Augustus F. Hawkins High B Community Health Advocates,523
Los Angeles County,Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,524
Los Angeles County,Avalon High,525
Los Angeles County,Bell Senior High,526
Los Angeles County,Belmont Senior High,527
Los Angeles County,Benjamin Banneker Special Education Center,528
Los Angeles County,Benjamin Franklin Senior High,529
Los Angeles County,Berenece Carlson Home Hospital,530
Los Angeles County,Birmingham Community Charter High,531
Los Angeles County,Bright Star Secondary Charter Academy,532
Los Angeles County,C. Morley Sellery Special Education Center,533
Los Angeles County,CDS Secondary,534
Los Angeles County,CHAMPS - Charter HS of Arts-Multimedia & Performing,535
Los Angeles County,Cal Burke High,536
Los Angeles County,Camino Nuevo Charter High,537
Los Angeles County,Canoga Park Senior High,538
Los Angeles County,Carson Senior High,539
Los Angeles County,Central High,540
Los Angeles County,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,541
Los Angeles County,Cesar E. Chavez Learning Academies-Teacher Preparation Academy,542
Los Angeles County,Cesar E. Chavez Learning Academy - Arts/Theatre/Entertain Mag,543
Los Angeles County,Chatsworth Charter High,544
Los Angeles County,Cheviot Hills Continuation,545
Los Angeles County,City of Angels,546
Los Angeles County,Civitas School of Leadership,547
Los Angeles County,Communication and Technology at Diego Rivera Learning Complex,548
Los Angeles County,Community Harvest Charter,549
Los Angeles County,Contreras Learning Center-Academic Leadership Community,550
Los Angeles County,Contreras Learning Center-Los Angeles School of Global Studies,551
Los Angeles County,Cooper (James Fenimore) Opportunity High,552
Los Angeles County,Crenshaw Arts-Technology Charter High,553
Los Angeles County,"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet",554
Los Angeles County,David Starr Jordan Senior High,555
Los Angeles County,Diane S. Leichman Special Education Center,556
Los Angeles County,Discovery Charter,557
Los Angeles County,Discovery Charter Preparatory No. 2,558
Los Angeles County,Dorothy V. Johnson Community Day,559
Los Angeles County,Downtown Business High,560
Los Angeles County,Dr. Maya Angelou Community High,561
Los Angeles County,Eagle Rock High,562
Los Angeles County,Eagle Tree Continuation,563
Los Angeles County,Early College Academy-LA Trade Tech College,564
Los Angeles County,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,565
Los Angeles County,East Valley Senior High,566
Los Angeles County,Edward R. Roybal Learning Center,567
Los Angeles County,El Camino Real Charter High,568
Los Angeles County,Elizabeth Learning Center,569
Los Angeles County,Ellington (Duke) High (Continuation),570
Los Angeles County,Engineering and Technology Academy at Esteban E. Torres High No. 3,571
Los Angeles County,Esteban Torres East LA Performing Arts Magnet,572
Los Angeles County,Evergreen Continuation,573
Los Angeles County,Fairfax Senior High,574
Los Angeles County,Felicitas and Gonzalo Mendez High,575
Los Angeles County,Foshay Learning Center,576
Los Angeles County,Frank Lanterman,577
Los Angeles County,Fred E. Lull Special Education Center,578
Los Angeles County,Frederick Douglass Academy High,579
Los Angeles County,Gardena Senior High,580
Los Angeles County,George S. Patton Continuation,581
Los Angeles County,George Washington Preparatory High,582
Los Angeles County,Granada Hills Charter High,583
Los Angeles County,Green Design at Diego Rivera Learning Complex,584
Los Angeles County,Grover Cleveland Charter High,585
Los Angeles County,Harbor Teacher Preparation Academy,586
Los Angeles County,Harold McAlister High (Opportunity),587
Los Angeles County,Helen Bernstein High,588
Los Angeles County,Henry David Thoreau Continuation,589
Los Angeles County,High Tech LA,590
Los Angeles County,Highland Park Continuation,591
Los Angeles County,Hollywood Senior High,592
Los Angeles County,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,593
Los Angeles County,Humanitas Art School at Roosevelt High,594
Los Angeles County,Humanities and Arts (HARTS) Academy of Los Angeles,595
Los Angeles County,Independence Continuation,596
