detainer_detention_facility,county,city,state,uniqueid
1ST CHOICE INNS,Garfield County,GLENWOOD SPRINGS,CO,d1
ABBEVILLE COUNTY DET CENTER,Abbeville County,ABBEVILLE,SC,d2
ABBOTT HOME,Westchester County,IRVINGTON,NY,d3
ABERDEEN CITY JAIL,Grays Harbor County,ABERDEEN,WA,d4
ABILENE HOLD ROOM,Taylor County,ABILENE,TX,d5
ABRAXAS-H GARCIA CENTER,Bexar County,SAN ANTONIO,TX,d6
ACADIA PARISH DET. CENTER,Acadia Parish,CROWLEY,LA,d7
ACCOMACK COUNTY JAIL,Accomack County,ACCOMAC,VA,d8
"ACI, CRANSTON RI",Providence County,CRANSTON,RI,d9
ACWORTH POLICE DEPT.,Cobb County,ACWORTH,GA,d10
ADA COUNTY JAIL,Ada County,BOISE,ID,d11
ADAIR COUNTY REGIONAL JAIL,Adair County,COLUMBIA,KY,d12
ADAIR COUNTY SHERIFF/JAIL,Adair County,STILWELL,OK,d13
"ADAMS CO JAIL, NEBRASKA",Adams County,HASTINGS,NE,d14
ADAMS COUNTY,Adams County,RITZVILLE,WA,d15
ADAMS COUNTY ADULT C.C.,Adams County,GETTYSBURG,PA,d16
ADAMS COUNTY DET CENTER,Adams County,NATCHEZ,MS,d17
ADAMS COUNTY JAIL,Adams County,BRIGHTON,CO,d18
ADAMS COUNTY JAIL,Adams County,CORNING,IA,d19
ADAMS COUNTY JAIL,Adams County,COUNCIL,ID,d20
ADAMS COUNTY JAIL,Adams County,DECATUR,IN,d21
ADAMS COUNTY JAIL,Adams County,QUINCY,IL,d22
ADAMS COUNTY JAIL,Adams County,WEST UNION,OH,d23
ADAMS COUNTY JUVENILE,Adams County,BRIGHTON,CO,d24
ADAMS COUNTY SHERIFF,Adams County,ADAMS,WI,d25
ADDISON COUNTY JAIL,Addison County,MIDDLEBURY,VT,d26
ADDISON POLICE DEPT.,Dallas County,ADDISON,TX,d27
ADDISON POLICE DEPT.,DuPage County,ADDISON,IL,d28
ADELANTO CORRECTIONAL FACILITY,San Bernardino County,ADELANTO,CA,d29
ADELANTO DETENTION FACILITY,San Bernardino County,ADELANTO,CA,d30
"ADIRONDACK CF, RAYBROOK",Orange County,RAY BROOK,NY,d31
"ADIRONDACK CF, RAYBROOK",Orange County,RAYBROOK,NY,d32
ADOBE MOUNTAIN SCHOOL -JUV,Maricopa County,PHOENIX,AZ,d33
ADOC FT GRANT,Graham County,FT GRANT,AZ,d34
ADOC MARANA,Pima County,MARANA,AZ,d35
"ADOC SAFFORD, AZ",Graham County,SAFFORD,AZ,d36
"ADRIAN TEMP, ADRIAN, MI",Lenawee County,ADRIAN,MI,d37
ADULT DIAGNOSTIC & TRTMNT,Middlesex County,AVENEL,NJ,d38
AGANA INS,Guam,HAGATNA,GU,d39
AGUADILLA SPC,Aguadillo County,AGUADILLA,PR,d40
AIKEN COUNTY DET CENTER,Aiken County,AIKEN,SC,d41
AIRWAY HEIGHTS,Spokane County,AIRWAY HEIGHTS,WA,d42
ALABAMA DEPT OF CORRECTION,Montgomery County,MONTGOMERY,AL,d43
ALACHUA COUNTY JAIL,Alachua County,GAINESVILLE,FL,d44
ALACHUA COUNTY JAIL,Alachua County,GAINSVILLE,FL,d45
ALAMANCE CO. DET. FACILITY,Alamance County,GRAHAM,NC,d46
ALAMO POLICE DEPT.,Hidalgo County,ALAMO,TX,d47
ALAMOSA COUNTY JAIL,Alamosa County,ALAMOSA,CO,d48
ALBANY COUNTY JAIL,Albany County,ALBANY,NY,d49
ALBANY COUNTY JAIL,Albany County,LARAMIE,WY,d50
ALBEMARLE-CHARLOTTSVILLE,Charlottesville City,CHARLOTTESVILLE,VA,d51
ALBEMARLE-CHARLOTTSVILLE,Charlottesville City,CHARLOTTSVILLE,VA,d52
ALBERMARIE DISTRICT JAIL,Pasquotank County,ELIZABETH CITY,NC,d53
ALBERT C WAGNER YOUTH C.F.,Burlington County,BORDENTOWN,NJ,d54
ALBERTVILLE CITY JAIL,Marshall County,ALBERTVILLE,AL,d55
ALBION CORRECTIONAL,Orleans County,ALBION,NY,d56
ALBUQUERQUE HOLD ROOM,Bernalillo County,ALBUQUERQUE,NM,d57
ALDERSON FED. PRISON CAMP,Greenbrier County,ALDERSON,WV,d58
ALEXANDER CITY POLICE DEPT.,Tallapoosa County,ALEXANDER CITY,AL,d59
ALEXANDER COUNTY JAIL,Alexander County,TAYLORSVILLE,NC,d60
ALEXANDRIA CITY JAIL,Alexandria City,ALEXANDRIA,VA,d61
ALEXANDRIA CITY JAIL,Tallapoosa County,ALEXANDER CITY,AL,d62
ALFALFA COUNTY JAIL,Alfalfa County,CHEROKEE,OK,d63
ALGER CORRECTIONAL FACILITY,Alger County,MUNISING,MI,d64
ALGER COUNTY JAIL,Alger County,MUNISING,MI,d65
ALGOA CORRECTIONAL CENTER,Cole County,JEFFERSON CITY,MO,d66
ALHAMBRA CITY JAIL,Los Angeles County,ALHAMBRA,CA,d67
ALICEVILLE FCI,Pickens County,ALICEVILLE,AL,d68
ALLAMAKEE COUNTY JAIL,Allamakee County,WAUKON,IA,d69
ALLEGAN CO SHERIFF & CORRECTIONS,Allegan County,ALLEGAN,MI,d70
"ALLEGAN CO YOUTH, ALL.MI.",Allegan County,ALLEGAN,MI,d71
"ALLEGAN CO. SHER. ALL.,MI",Allegan County,ALLEGAN,MI,d72
ALLEGANY COUNTY JAIL,Allegany County,BELMONT,NY,d73
ALLEGHANY COUNTY JAIL,Alleghany County,SPARTA,NC,d74
ALLEGHANY COUNTY JAIL,Covington City,COVINGTON,VA,d75
ALLEGHENY CO. JAIL,Allegheny County,PITTSBURGH,PA,d76
ALLEGHENY DETENTION FAC.,Allegany County,CUMBERLAND,MD,d77
ALLEN CORRECTION CENTER,Allen Parish,KINDER,LA,d78
ALLEN CORRECTIONAL INST.,Allen County,LIMA,OH,d79
ALLEN COUNTY DETENTION CENTER,Allen County,SCOTTSVILLE,KY,d80
ALLEN COUNTY JAIL,Allen County,FT. WAYNE,IN,d81
ALLEN COUNTY JAIL,Allen County,LIMA,OH,d82
ALLEN PARISH JAIL,Allen Parish,OAKDALE,LA,d83
ALLEN PARISH PUBLIC SAFETY COMPLEX,Allen Parish,OBERLIN,LA,d84
ALLEN PARK POLICE DEPT.,Wayne County,ALLEN PARK,MI,d85
ALLEN POLICE DEPT.,Collin County,ALLEN,TX,d86
ALLENDALE COUNTY DET CENTER,Allendale County,ALLENDALE,SC,d87
ALLENWOOD (LOW) FCI,Union County,WHITE DEER,PA,d88
ALLENWOOD (MED) FCI,Union County,WHITE DEER,PA,d89
ALLENWOOD FED.PRISON CAMP,Lycoming County,MONTGOMERY,PA,d90
ALLENWOOD HOLD ROOM,Union County,WHITE DEER,PA,d91
ALLENWOOD U.S.PEN.,Union County,WHITE DEER,PA,d92
"ALPENA CO, ALPENA,MI.",Alpena County,ALPENA,MI,d93
ALTERNATIVE HOUSE,El Paso County,EL PASO,TX,d94
"ALTONA C.F., ALTONA",Clinton County,ALTONA,NY,d95
ALVIN POLICE DEPT.,Brazoria County,ALVIN,TX,d96
AMADOR COUNTY JAIL,Amador County,AMADOR,CA,d97
AMARILLO CITY JAIL,Potter County,AMARILLO,TX,d98
AMHERST ADULT DETENTION CENTER,Amherst County,MADISON HEIGHTS,VA,d99
AMHERST COUNTY JAIL,Amherst County,AMHERST,VA,d100
AMHERST TOWN JAIL,Erie County,W. AMHERST,NY,d101
ANAHEIM CITY JAIL,Orange County,ANAHEIM,CA,d102
ANAMOSA STATE PENITENTIAR,Jones County,ANAMOSA,IA,d103
ANCHORAGE JAIL,Anchorage Borough,ANCHORAGE,AK,d104
ANCHORAGE SUB-OFFICE HOLD ROOM,Anchorage Borough,ANCHORAGE,AK,d105
ANDERSON CITY JAIL,Anderson County,ANDERSON,SC,d106
ANDERSON COUNTY DET CENTER,Anderson County,ANDERSON,SC,d107
ANDERSON COUNTY JAIL,Anderson County,CLINTON,TN,d108
ANDERSON COUNTY JAIL,Anderson County,PALESTINE,TX,d109
ANDREWS SHERRIF'S OFFICE CO JAIL,Andrews County,ANDREWS,TX,d110
ANDROSCOGGIN COUNTY JAIL,Androscoggin County,AUBURN,ME,d111
ANGEL'S FLIGHT,Los Angeles County,LOS ANGELES,CA,d112
ANGELINA COUNTY JAIL,Angelina County,LUFKIN,TX,d113
ANGLETON POLICE DEPT.,Brazoria County,ANGLETON,TX,d114
ANNAPOLIS POLICE DEPT.,Anne Arundel County,ANNAPOLIS,MD,d115
"ANNE ARUNDEL COUNTY PD, SD",Anne Arundel County,EDGEWATER,MD,d116
ANNE ARUNDEL CTY DET CNTR,Anne Arundel County,ANNAPOLIS,MD,d117
ANNE KLEIN PHSYCHIATRIC INSTITUTE,Mercer County,W. TRENTON,NJ,d118
ANOKA CO. JUVENILE CENTER,Anoka County,LINO LAKES,MN,d119
ANOKA COUNTY JAIL,Anoka County,ANOKA,MN,d120
ANOKA COUNTY WORKHOUSE,Anoka County,ANOKA,MN,d121
ANSON COUNTY JAIL,Anson County,WADESBORO,NC,d122
ANTELOPE COUNTY JAIL,Antelope County,NELIGH,NE,d123
ANTRIM COUNTY SHERIFF/JAIL,Antrim County,BELAIRE,MI,d124
"ANVIL MOUNTAIN CC, NOME,",Nome Census Area,NOME,AK,d125
APACHE CO. JAIL,Apache County,ST JOHNS,AZ,d126
APPALACHEE CORRECTIONAL,Jackson County,SNEADS,FL,d127
APPLETON POLICE DEPT.,Outagamie County,APPLETON,WI,d128
APPLING COUNTY JAIL,Appling County,BAXLEY,GA,d129
APPOMATTOX COUNTY JAIL,Appomattox County,APPOMATTOX,VA,d130
ARAB POLICE DEPT.,Marshall County,ARAB,AL,d131
ARANSAS COUNTY SHERIFF,Aransas County,ROCKPORT,TX,d132
ARANSAS PASS POLICE DEPT.,San Patricio County,ARANSAS PASS,TX,d133
ARAPAHOE COUNTY JAIL,Arapahoe County,CENTENNIAL,CO,d134
ARCADIA POLICE DEPT.,Los Angeles County,ARCADIA,CA,d135
ARCHER COUNTY JAIL,Archer County,ARCHER,TX,d136
ARCHULETA COUNTY AJIL,Archuleta County,PAGASO SPRINGS,CO,d137
ARIZONA SERVICE PRISON COMPLEX,Yuma County,SAN LUIS,AZ,d138
ARIZONA STATE PRISON COMP,Pinal County,FLORENCE,AZ,d139
ARIZONA STATE PRISON-KINGMAN,Mohave County,GOLDEN VALLEY,AZ,d140
ARIZONA STATE PRISON-PHOENIX WEST,Maricopa County,PHOENIX,AZ,d141
ARIZONA STATE PRISON-WINSLOW,Navajo County,WINSLOW,AZ,d142
ARK. D.O.C.- GRIMES UNIT,Jackson County,NEWPORT,AR,d143
ARK. D.O.C.- WRIGHTSVILLE,Pulaski County,WRIGHTSVILLE,AR,d144
ARK. D.O.C.-BENTON UNIT,Saline County,BENTON,AR,d145
ARK. D.O.C.-CUMMINS UNIT,Lincoln County,GRADY,AR,d146
ARK. D.O.C.-DELTA REG.UNIT,Chicot County,DERMOTT,AR,d147
ARK. D.O.C.-DIAGNOSTIC   .,Jefferson County,PINE BLUFF,AR,d148
ARK. D.O.C.-MAX.SEC.UNIT,Jefferson County,TUCKER,AR,d149
ARK. D.O.C.-MCPHERSON UNIT,Jackson County,NEWPORT,AR,d150
ARK. D.O.C.-NORTH CENTRAL,Izard County,CALICO ROCK,AR,d151
ARK. D.O.C.-PINEBLUFF UNIT,Jefferson County,PINE BLUFF,AR,d152
ARK. D.O.C.-TEXARKANA UNIT,Miller County,TEXARKANA,AR,d153
ARK. D.O.C.-TUCKER UNIT,Jefferson County,TUCKER,AR,d154
ARK. D.O.C.-VARNER UNIT,Lincoln County,GRADY,AR,d155
ARKANSAS COUNTY JAIL,Arkansas County,DE WITT,AR,d156
ARLINGTON CO JAIL,Arlington County,ARLINGTON,VA,d157
ARLINGTON HEIGHTS POLICE DEPT,Cook County,ARLINGTON HEIGHTS,IL,d158
ARLINGTON POLICE DEPT.,Tarrant County,ARLINGTON,TX,d159
ARMSTRONG COUNTY JAIL,Armstrong County,CLAUDE,TX,d160
AROOSTOOK COUNTY JAIL,Aroostook County,HOULTON,ME,d161
ARTESIA CITY JAIL,Eddy County,ARTESIA,NM,d162
ARTESIA LAW ENFORCEMENT CENTER,Eddy County,ARTESIA,NM,d163
ARTHUR KILL CORR FAC S.I.,Richmond County,STATEN ISLAND,NY,d164
ASCENSION PARISH PRISON,Ascension Parish,DONALDSONVILLE,LA,d165
ASHE COUNTY JAIL,Ashe County,JEFFERSON,NC,d166
ASHLAND COUNTY JAIL,Ashland County,ASHLAND,OH,d167
ASHLAND COUNTY SHERIFF,Ashland County,ASHLAND,WI,d168
ASHLAND FED.CORR.INST.,Boyd County,ASHLAND,KY,d169
ASHLEY COUNTY JAIL,Ashley County,HAMBURG,AR,d170
ASHTABULA COUNTY JAIL,Ashtabula County,JEFFERSON,OH,d171
ASOTIN COUNTY JAIL,Asotin County,ASOTIN,WA,d172
ASP COMP. EYEMAN,Pinal County,FLORENCE,AZ,d173
ASPC ALHAMBRA,Maricopa County,PHOENIX,AZ,d174
ASPC GLOBE,Gila County,GLOBE,AZ,d175
ASPC LEWIS,Maricopa County,BUCKEYE,AZ,d176
ATASCOSA COUNTY JAIL,Atascosa County,JOURDANTON,TX,d177
ATASCOSA COUNTY JUVENILE,Atascosa County,JOURDANTON,TX,d178
ATCHISON COUNTY SHERIFF'S OFFICE,Atchison County,ATCHISON,KS,d179
ATHENS COUNTY JAIL,Athens County,ATHENS,OH,d180
ATHENS-CLARKE CO. JAIL,Clarke County,ATHENS,GA,d181
ATKINSON COUNTY JAIL,Atkinson County,PEARSON,GA,d182
ATLANTA DIST. HOLD RM,Fulton County,ATLANTA,GA,d183
ATLANTA PRETRIAL DETN CTR,Fulton County,ATLANTA,GA,d184
ATLANTA U.S. PEN.,Fulton County,ATLANTA,GA,d185
ATLANTIC COUNTY JAIL,Atlantic County,MAYS LANDING,NJ,d186
ATOKA COUNTY SHERIFF/JAIL,Atoka County,ATOKA,OK,d187
ATTALA COUNTY DET. CENTER,Attala County,KOSCIUSKO,MS,d188
ATTICA C.F.,Wyoming County,ATTICA,NY,d189
AUBURN C.F.,Cayuga County,AUBURN,NY,d190
AUDRAIN COUNTY JAIL,Audrain County,MEXICO,MO,d191
AUGLAIZE COUNTY JAIL,Auglaize County,WAPAKONETA,OH,d192
AUGUSTA CO JAIL,Staunton City,STAUNTON,VA,d193
AURORA CITY JAIL,Arapahoe County,AURORA,CO,d194
AURORA POLICE DEPT.,Kane County,AURORA,IL,d195
AURORA POLICE DEPT.,Lawrence County,AURORA,MO,d196
AUSTIN COUNTY SHERIFF,Austin County,BELLVILLE,TX,d197
AUSTIN DRO HOLD ROOM,Travis County,AUSTIN,TX,d198
AUTAUGA COUNTY JAIL,Autauga County,PRATTVILLE,AL,d199
AVENAL STATE PRISON,Kings County,AVENAL,CA,d200
AVERY COUNTY JAIL,Avery County,NEWLAND,NC,d201
AVON PARK CORRECTIONAL,Highlands County,AVON PARK,FL,d202
AVONDALE POLICE DEP'T.,Maricopa County,AVONDALE,AZ,d203
AVOYELLES PARISH CORR CTR,Avoyelles Parish,COTTONPORT,LA,d204
AVOYELLES PARISH PRISON,Avoyelles Parish,MARKSVILLE,LA,d205
AZ DEPT OF CORRECTIONS,Maricopa County,PHOENIX,AZ,d206
AZ DPT CORRECTIONS DOU,Cochise County,DOUGLAS,AZ,d207
AZ DPT CORRECTIONS TUCSON,Pima County,TUCSON,AZ,d208
AZUSA POLICE DEPT.,Los Angeles County,AZUSA,CA,d209
B.B. RAYBURN COR. CENTER,Washington Parish,ANGIE,LA,d210
B.R.R.J. ABINGDON,Washington County,ABINGDON,VA,d211
B.R.R.J. BEDFORD,Bedford City,BEDFORD,VA,d212
B.R.R.J. CAMPBELL,Campbell County,RUSTBURG,VA,d213
B.R.R.J. DUFFIELD,Scott County,DUFFIELD,VA,d214
B.R.R.J. HALIFAX,Halifax County,HALIFAX,VA,d215
B.R.R.J. HAYSI,Dickenson County,HAYSI,VA,d216
B.R.R.J. LYNCHBURG,Lynchburg City,LYNCHBURG,VA,d217
B.R.R.J. TAZEWELL,Tazewell County,TAZEWELL,VA,d218
BACA COUNTY JAIL,Baca County,SPRINGFIELD,CO,d219
BACON COUNTY SHERIFF,Bacon County,ALMA,GA,d220
BAILEY COUNTY SHERIFF,Bailey County,MULESHOE,TX,d221
BAKER C. I.,Baker County,SANDERSON,FL,d222
BAKER CCF,San Bernardino County,BAKER,CA,d223
BAKER COUNTY JAIL,Baker County,BAKER CITY,OR,d224
BAKER COUNTY SHERIFF DEPT.,Baker County,MACCLENNY,FL,d225
BAKERFIELD HOLD,Kern County,BAKERSFIELD,CA,d226
BAL D D & P,Baltimore City,BALTIMORE,MD,d227
BALCH SPRINGS POLICE DEPT.,Dallas County,BALCH SPRINGS,TX,d228
BALDWIN COUNTY COR. CENTER,Baldwin County,BAY MINETTE,AL,d229
BALDWIN COUNTY JAIL,Baldwin County,BAY MINETTE,AL,d230
BALDWIN COUNTY SHERIFF,Baldwin County,MILLEDGEVILLE,GA,d231
BALDWIN PARK POLICE DEPT.,Los Angeles County,BALDWIN PARK,CA,d232
BALLARD COUNTY JAIL,Ballard County,WICKLIFFE,KY,d233
BALLWIN POLICE DEPT.,St. Louis County,BALLWIN,MO,d234
BALT CITY CENTRAL,Baltimore City,BALTIMORE,MD,d235
BALT CITY SOUTHWESTERN,Baltimore City,BALTIMORE,MD,d236
BALTIMORE CIT JAIL,Baltimore City,BALTIMORE,MD,d237
BALTIMORE CITY DETENTION CENTER,Baltimore City,BALTIMORE,MD,d238
BALTIMORE COUNTY DET. CENTER,Baltimore County,TOWSON,MD,d239
BALTIMORE PD-#9 WHITE MARSH,Baltimore City,BALTIMORE,MD,d240
BALTO.CITY NORTHWESTERN,Baltimore City,BALTIMORE,MD,d241
BALWIN CO REG JDC.,Baldwin County,BAY MINETTE,AL,d242
BAMBERG COUNTY DET CENTER,Bamberg County,BAMBERG,SC,d243
BANDERA COUNTY JAIL,Bandera County,BANDERA,TX,d244
BANKS COUNTY SHERIFF,Banks County,HOMER,GA,d245
BANNOCK COUNTY JAIL,Bannock County,POCATELLO,ID,d246
BAPTIST CHILD & FAMILY SERVICES,Bexar County,SAN ANTONIO,TX,d247
BARBER COUNTY JAIL,Barber County,MEDICINE LODGE,KS,d248
BARBOUR COUNTY JAIL,Barbour County,CLAYTON,AL,d249
BAREHILL CORRECTIONAL,Franklin County,MALONE,NY,d250
BARNES COUNTY JAIL,Barnes County,VALLEY CITY,ND,d251
BARNSTABLE COUNTY,Barnstable County,BARNSTABLE,MA,d252
BARNWELL COUNTY JAIL,Barnwell County,BARNWELL,SC,d253
BARREN COUNTY DET. CENTER,Barren County,GLASGOW,KY,d254
BARRON COUNTY SHERIFF/JAIL,Barron County,BARRON,WI,d255
BARROW COUNTY JAIL,Barrow County,WINDER,GA,d256
BARRY COUNTY JAIL,Barry County,CASSVILLE,MO,d257
BARRY COUNTY JAIL,Barry County,HASTINGS,MI,d258
BARTHOLOMEW COUNTY SHERIFF/JAIL,Bartholomew County,COLUMBUS,IN,d259
BARTLETT POLICE DEPT.,Shelby County,BARTLETT,TN,d260
BARTON COUNTY JAIL,Barton County,GREAT BEND,KS,d261
BARTON COUNTY SHERIFF,Barton County,LAMAR,MO,d262
BARTOW CO JAIL,Bartow County,CARTERVILLE,GA,d263
BASILE DETENTION CENTER,Evangeline Parish,BASILE,LA,d264
BASTROP COUNTY JAIL,Bastrop County,BASTROP,TX,d265
BASTROP FED.CORR.INST.,Bastrop County,BASTROP,TX,d266
BAXTER COUNTY JAIL,Baxter County,MOUNTAIN HOME,AR,d267
BAY CITY POLICE DEPT.,Matagorda County,BAY CITY,TX,d268
"BAY CO. JAIL, BAY CTY,MI.",Bay County,BAY CITY,MI,d269
BAY COUNTY,Bay County,PANAMA CITY,FL,d270
"BAY STATE CORR, NORFOLK",Norfolk County,NORFOLK,MA,d271
BAYAMON REGIONAL JAIL.,Cidra County,BAYAMON,PR,d272
BAYFIELD COUNTY SHERIFF,Bayfield County,WASHBURN,WI,d273
BAYLEY SETON HOSPITAL,Richmond County,STATEN ISLAND,NY,d274
BAYLOR COUNTY JAIL,Baylor County,SEYMOUR,TX,d275
BAYOU LA BATRE POL DEPT JAIL,Mobile County,BAYOU LA BATRE,AL,d276
BAYOU VISTA POLICE DEPT.,Galveston County,BAYOU VISTA,TX,d277
BAYSIDE STATE PRISON,Cumberland County,LEESBURG,NJ,d278
BAYTOWN POLICE DEPT.,Harris County,BAYTOWN,TX,d279
BAYVIEW CORRECTIONAL FACILITY,Kings County,NEW YORK,NY,d280
"BEACON CORRECTIONAL, NY",Dutchess County,BEACON,NY,d281
BEADLE CO. SD JAIL,Beadle County,HURON,SD,d282
BEAUFORT COUNTY DET CENTER,Beaufort County,BEAUFORT,SC,d283
BEAUFORT COUNTY JAIL,Beaufort County,WASHINGTON,NC,d284
"BEAUMONT FCC, LOW",Jefferson County,BEAUMONT,TX,d285
"BEAUMONT FCC, MEDIUM",Jefferson County,BEAUMONT,TX,d286
BEAUMONT FED.CORR.CTR,Jefferson County,BEAUMONT,TX,d287
BEAUMONT FEDERAL PRISON,Jefferson County,BEAUMONT,TX,d288
BEAUMONT POLICE DEPT.,Jefferson County,BEAUMONT,TX,d289
BEAUREGARD PARISH JAIL,Beauregard Parish,DE RIDDER,LA,d290
BEAVER COUNTY JAIL,Beaver County,BEAVER,UT,d291
BEAVER COUNTY SHERIFF/JAIL,Beaver County,BEAVER,OK,d292
BEAVERHEAD CO DET CENTER,Beaverhead County,DILLON,MT,d293
BECKER COUNTY JAIL,Becker County,DETROIT LAKES,MN,d294
BECKHAM COUNTY JAIL,Beaver County,BEAVER,OK,d295
BECKLEY  FED.CORR.INST.,Raleigh County,BEAVER,WV,d296
BEDFORD CITY JAIL,Tarrant County,BEDFORD,TX,d297
BEDFORD COUNTY JAIL,Bedford County,BEDFORD,PA,d298
BEDFORD COUNTY JAIL,Bedford County,SHELBYVILLE,TN,d299
BEDFORD HEIGHTS CITY,Cuyahoga County,BEDFORD HTS,OH,d300
"BEDFORD HILLS, NY",Westchester County,BEDFORD HILLS,NY,d301
BEE COUNTY SHERIFF,Bee County,BEEVILLE,TX,d302
BEECHER POLICE DEPT.,Will County,BEECHER,IL,d303
BELKNAP COUNTY JAIL,Belknap County,LACONIA,NH,d304
BELL COUNTY JAIL,Bell County,BELTON,TX,d305
BELL COUNTY JUVENILE,Bell County,KILLEEN,TX,d306
BELL GARDENS POLICE DEPT.,Los Angeles County,BELL GARDENS,CA,d307
BELL POLICE DEPT.,Los Angeles County,BELL,CA,d308
BELLAIRE POLICE DEPT.,Harris County,BELLAIRE,TX,d309
BELLAMY CREEK CORR. FACILITY,Ionia County,IONIA,MI,d310
"BELLEVILLE PD, BELVIL, MI",Wayne County,BELLEVILLE,MI,d311
BELLVILLE POLICE DEPT.,Austin County,BELLVILLE,TX,d312
BELMONT CORRECTIONAL,Belmont County,ST CLAIRSVILLE,OH,d313
BELMONT CORRECTIONAL,Belmont County,ST. CLAIRSVILLE,OH,d314
BELMONT COUNTY JAIL,Belmont County,ST CLAIRSVILLE,OH,d315
BELMONT COUNTY JAIL,Belmont County,ST. CLAIRSVILLE,OH,d316
BELTRAMI COUNTY JAIL,Beltrami County,BEMIDJI,MN,d317
BEN HILL COUNTY JAIL,Ben Hill County,FITZGERALD,GA,d318
BENBROOK CITY JAIL,Tarrant County,BENBROOK,TX,d319
BENNETTSVILLE F.C.I.,Marlboro County,BENNETTSVILLE,SC,d320
BENSENVILLE POLICE DEPT.,DuPage County,BENSENVILLE,IL,d321
BENT COUNTY JAIL,Bent County,LAS ANIMAS,CO,d322
BENTON CO JAIL,Benton County,VINTON,IA,d323
BENTON COUNTY,Benton County,KENNEWICK,WA,d324
BENTON COUNTY DETENTION CENTER,Benton County,BENTONVILLE,AR,d325
BENTON COUNTY JAIL,Benton County,CORVALLIS,OR,d326
BENTON COUNTY JAIL,Benton County,FOLEY,MN,d327
BENTON COUNTY SHERIFF/JAIL,Benton County,WARSAW,MO,d328
"BENZIE CO., BEULAH, MI",Benzie County,BEULAH,MI,d329
BEREA CITY JAIL,Cuyahoga County,BEREA,OH,d330
BERGEN COUNTY JAIL,Bergen County,HACKENSACK,NJ,d331
BERKELEY CITY JAIL,St. Louis County,BERKELEY,MO,d332
BERKELEY COUNTY DET CENTER,Berkeley County,MONCKS CORNER,SC,d333
BERKS CO. JUVENILE,Berks County,LEESPORT,PA,d334
BERKS COUNTY FAMILY SHELTER,Berks County,LEESPORT,PA,d335
"BERKS COUNTY JAIL, PA",Berks County,LEESPORT,PA,d336
BERKSHIRE CNTY PITTSFIELD,Berkshire County,PITTSFIELD,MA,d337
BERLIN FED. CORR. INST.,Coos County,BERLIN,NH,d338
BERNALILLO COUNTY DET CTR,Bernalillo County,ALBUQUERQUE,NM,d339
"BERRIEN CO, ST.JO.,MI",Berrien County,BERRIEN,MI,d340
BERRIEN COUNTY SHERIFF,Berrien County,NASHVILLE,GA,d341
BERTIE COUNTY JAIL,Bertie County,WINDSOR,NC,d342
BERWYN POLICE DEPT.,Cook County,BERWYN,IL,d343
"BETHANY C.S.,GRAND RAPIDS",Kent County,GRAND RAPIDS,MI,d344
BETHANY CHILDRENS' HOME,Berks County,WOMELSDORF,PA,d345
BETHEL POLICE DEPT.,Fairfield County,BETHEL,CT,d346
BEVERLY HILLS JAIL,Los Angeles County,BEVERLY HILLS,CA,d347
BEVERLY HILLS POLICE DEPT.,Los Angeles County,BEVERLY HILLS,CA,d348
BEXAR COUNTY JAIL,Bexar County,SAN ANTONIO,TX,d349
BEXAR COUNTY JUVENILE,Bexar County,SAN ANTONIO,TX,d350
BEXAR COUNTY WACKENHUT ANNUAL DET.,Bexar County,SAN ANTONIO,TX,d351
BI STATE JUSTICE COMMITTE,Miller County,TEXARKANA,AR,d352
BIBB CORRECTIONAL CENTER,Bibb County,BRENT,AL,d353
BIBB COUNTY SHERIFF,Bibb County,MACON,GA,d354
"BIG HORN COUNTY JAIL, MT",Big Horn County,HARDIN,MT,d355
"BIG HORN COUNTY JAIL, WY",Big Horn County,BASIN,WY,d356
BIG MUDDY CORRECTIONAL CT,Jefferson County,INA,IL,d357
BIG SANDY USP,Martin County,INEZ,KY,d358
BIG SPRING FED.CORR.INST.,Howard County,BIG SPRING,TX,d359
BIG SPRING HOLD ROOM,Howard County,BIG SPRING,TX,d360
BILL JOHNSON CORR CENTER,Woods County,ALVA,OK,d361
BINGHAM COUNTY JAIL,Bingham County,BLACKFOOT,ID,d362
BIRMINGHAM HOLD ROOM,Jefferson County,HOMEWOOD,AL,d363
BLACK HAWK CO JAIL,Black Hawk County,WATERLOO,IA,d364
BLACKFORD COUNTY JAIL,Blackford County,HARTFORD,IN,d365
BLACKWATER RIVER CORR. FAC.,Santa Rosa County,MILTON,FL,d366
BLACKWELL CITY JAIL,Kay County,BLACKWELL,OK,d367
BLADEN COUNTY JAIL,Bladen County,ELIZABETHTOWN,NC,d368
BLAINE COUNTY JAIL,Blaine County,CHINOOK,MT,d369
BLAINE COUNTY JAIL,Blaine County,HAILEY,ID,d370
BLAIR COUNTY PRISON,Blair County,HOLLIDAYSBURG,PA,d371
BLANCO COUNTY JAIL,Blanco County,JOHNSON CITY,TX,d372
BLAND CORRECTIONAL CENTER,Bland County,BLAND,VA,d373
BLECKLEY COUNTY SHERIFF,Bleckley County,COCHRAN,GA,d374
BLOOMINGTON POLICE DEPT.,Hennepin County,BLOOMINGTON,MN,d375
BLOUNT COUNTY JAIL,Blount County,ONEONTA,AL,d376
BLOUNT COUNTY JUSTICE CTR,Blount County,MARYVILLE,TN,d377
