detainer_detention_facility,county,city,state,uniqueid
VAN BUREN COUNTY JAIL,Van Buren County,KEOSAUQUA,IA,d4220
"VAN BUREN COUNTY JAIL, MI",Van Buren County,KALAMAZOO,MI,d4221
"VAN BUREN COUNTY JAIL, MI",Van Buren County,PAW PAW,MI,d4222
VAN BUREN TOWNSHIP PD,Wayne County,BELLEVILLE,MI,d4223
VAN WERT COUNTY JAIL,Van Wert County,VAN WERT,OH,d4224
VAN ZANDT COUNTY SHERIFF'S DEPT.,Van Zandt County,CANTON,TX,d4225
VANCE COUNTY JAIL,Vance County,HENDERSON,NC,d4226
VANDELIA CORRECTIONS CTR.,Fayette County,VANDELIA,IL,d4227
VANDERBURG COUNTY JAIL,Vanderburgh County,EVANSVILLE,IN,d4228
VARICK STREET SPC,Kings County,NEW YORK,NY,d4229
VEGA ALTA DET. FACILITY,Vega Alta County,VEGA ALTA,PR,d4230
VENICE CITY JAIL,Madison County,VENICE,IL,d4231
VENTRESS CORRECTIONAL FACILITY,Barbour County,CLAYTON,AL,d4232
VENTURA COUNTY JAIL,Ventura County,VENTURA,CA,d4233
VENTURA CUSTODY CASE,Ventura County,CAMARILLO,CA,d4234
VENTURA CUSTODY CASE,Ventura County,CAMARRILLO,CA,d4235
VERMILION COUNTY JAIL,Vermilion County,DANVILLE,IL,d4236
VERMILLION PARISH JAIL,Vermilion Parish,ABBEVILLE,LA,d4237
VERNON COUNTY SHERIFF,Vernon County,NEVADA,MO,d4238
VERNON COUNTY SHERIFF,Vernon County,VIROQUA,WI,d4239
VERNON HILLS POLICE DEPT.,Lake County,VERNON HILLS,IL,d4240
VERNON POLICE DEPT.,Los Angeles County,VERNON,CA,d4241
VICTOR VALLEY CCF,San Bernardino County,ADELANTO,CA,d4242
VICTORIA COUNTY JAIL,Victoria County,VICTORIA,TX,d4243
VICTORIA POLICE DEPT.,Victoria County,VICTORIA,TX,d4244
VIENNA CORRECTIONAL,Johnson County,VIENNA,IL,d4245
VILAS COUNTY JAIL,Vilas County,EAGLE RIVER,WI,d4246
VILLA PARK POLICE DEPT.,DuPage County,VILLA PARK,IL,d4247
VILLAGE OF SPRING VALLEY PD,Rockland County,SPRING VALLEY,NY,d4248
VILLAGE OF SUFFERN POLICE DEPT.,Rockland County,SUFFERN,NY,d4249
VINTON COUNTY JAIL,Vinton County,MCARTHUR,OH,d4250
VIRGINIA BEACH,Virginia Beach City,VIRGINIA BEACH,VA,d4251
VIRGINIA PENINSULA REG. JAIL,Williamsburg City,WILLIAMSBURG,VA,d4252
VISTA DETENTION FACILITY,San Diego County,VISTA,CA,d4253
VOLUSIA COUNTY JAIL.,Volusia County,DAYTONA BEACH,FL,d4254
VT DEPT OF CORR/NORTHERN STATE BOS,Orleans County,NEWPORT,VT,d4255
VT. DEPT. OF CORRECTIONS,Washington County,WATERBURY,VT,d4256
"W.KEY CC, FORT SUPPLY, OK",Woodward County,FORT SUPPLY,OK,d4257
WABASH VALLEY CORRECTONAL CENTER,Sullivan County,CARLISLE,IN,d4258
WABASHA COUNTY JAIL,Wabasha County,WABASHA,MN,d4259
WACKENHUT CORRECTIONS CORP,Broward County,POMPANO BEACH,FL,d4260
WACKENHUT CORRECTIONS CORP,San Diego County,SANDIEGO,CA,d4261
